Date,Hour Ending,Day-Ahead Cleared Demand
02/15/2012,01,11317.0
02/15/2012,02,11090.0
02/15/2012,03,11034.0
02/15/2012,04,11096.0
02/15/2012,05,11289.0
02/15/2012,06,11769.0
02/15/2012,07,14095.0
02/15/2012,08,14721.0
02/15/2012,09,14831.0
02/15/2012,10,14855.0
02/15/2012,11,14793.0
02/15/2012,12,14926.0
02/15/2012,13,14902.0
02/15/2012,14,14713.0
02/15/2012,15,14610.0
02/15/2012,16,14440.0
02/15/2012,17,14672.0
02/15/2012,18,16178.0
02/15/2012,19,15971.0
02/15/2012,20,15513.0
02/15/2012,21,15318.0
02/15/2012,22,14339.0
02/15/2012,23,12973.0
02/15/2012,24,11935.0
02/16/2012,01,11510.0
02/16/2012,02,11410.0
02/16/2012,03,11282.0
02/16/2012,04,11287.0
02/16/2012,05,11603.0
02/16/2012,06,12057.0
02/16/2012,07,14601.0
02/16/2012,08,15484.0
02/16/2012,09,15340.0
02/16/2012,10,15440.0
02/16/2012,11,15274.0
02/16/2012,12,15192.0
02/16/2012,13,15127.0
02/16/2012,14,14976.0
02/16/2012,15,14816.0
02/16/2012,16,14900.0
02/16/2012,17,15379.0
02/16/2012,18,16221.0
02/16/2012,19,16067.0
02/16/2012,20,15699.0
02/16/2012,21,15400.0
02/16/2012,22,14328.0
02/16/2012,23,13074.0
02/16/2012,24,11759.0
02/17/2012,01,11033.0
02/17/2012,02,10495.0
02/17/2012,03,10626.0
02/17/2012,04,10690.0
02/17/2012,05,11011.0
02/17/2012,06,11417.0
02/17/2012,07,13736.0
02/17/2012,08,14891.0
02/17/2012,09,14988.0
02/17/2012,10,14826.0
02/17/2012,11,14820.0
02/17/2012,12,14832.0
02/17/2012,13,14869.0
02/17/2012,14,14699.0
02/17/2012,15,14390.0
02/17/2012,16,14362.0
02/17/2012,17,14823.0
02/17/2012,18,15920.0
02/17/2012,19,15757.0
02/17/2012,20,15549.0
02/17/2012,21,15090.0
02/17/2012,22,13384.0
02/17/2012,23,12094.0
02/17/2012,24,11574.0
02/18/2012,01,11250.0
02/18/2012,02,11111.0
02/18/2012,03,11033.0
02/18/2012,04,10908.0
02/18/2012,05,10895.0
02/18/2012,06,11125.0
02/18/2012,07,11457.0
02/18/2012,08,12263.0
02/18/2012,09,13358.0
02/18/2012,10,13885.0
02/18/2012,11,13958.0
02/18/2012,12,13818.0
02/18/2012,13,13471.0
02/18/2012,14,13084.0
02/18/2012,15,12935.0
02/18/2012,16,12973.0
02/18/2012,17,13578.0
02/18/2012,18,15035.0
02/18/2012,19,15332.0
02/18/2012,20,14946.0
02/18/2012,21,14199.0
02/18/2012,22,13364.0
02/18/2012,23,12432.0
02/18/2012,24,11447.0
02/19/2012,01,11262.0
02/19/2012,02,10811.0
02/19/2012,03,10585.0
02/19/2012,04,10708.0
02/19/2012,05,10753.0
02/19/2012,06,10939.0
02/19/2012,07,11246.0
02/19/2012,08,11993.0
02/19/2012,09,13048.0
02/19/2012,10,13505.0
02/19/2012,11,13673.0
02/19/2012,12,13744.0
02/19/2012,13,13580.0
02/19/2012,14,13365.0
02/19/2012,15,13108.0
02/19/2012,16,13184.0
02/19/2012,17,13995.0
02/19/2012,18,15813.0
02/19/2012,19,16086.0
02/19/2012,20,15736.0
02/19/2012,21,14880.0
02/19/2012,22,13914.0
02/19/2012,23,12952.0
02/19/2012,24,12030.0
02/20/2012,01,11295.0
02/20/2012,02,11055.0
02/20/2012,03,10954.0
02/20/2012,04,10876.0
02/20/2012,05,11318.0
02/20/2012,06,11842.0
02/20/2012,07,13647.0
02/20/2012,08,14612.0
02/20/2012,09,14913.0
02/20/2012,10,15230.0
02/20/2012,11,15283.0
02/20/2012,12,15130.0
02/20/2012,13,14952.0
02/20/2012,14,14741.0
02/20/2012,15,14433.0
02/20/2012,16,14450.0
02/20/2012,17,15232.0
02/20/2012,18,16433.0
02/20/2012,19,16616.0
02/20/2012,20,16144.0
02/20/2012,21,15615.0
02/20/2012,22,14552.0
02/20/2012,23,13282.0
02/20/2012,24,12189.0
02/21/2012,01,11224.0
02/21/2012,02,11054.0
02/21/2012,03,10869.0
02/21/2012,04,10851.0
02/21/2012,05,11211.0
02/21/2012,06,12006.0
02/21/2012,07,14533.0
02/21/2012,08,15118.0
02/21/2012,09,15151.0
02/21/2012,10,15288.0
02/21/2012,11,15308.0
02/21/2012,12,15120.0
02/21/2012,13,14740.0
02/21/2012,14,14551.0
02/21/2012,15,14217.0
02/21/2012,16,14169.0
02/21/2012,17,14830.0
02/21/2012,18,16632.0
02/21/2012,19,16717.0
02/21/2012,20,16041.0
02/21/2012,21,15367.0
02/21/2012,22,14039.0
02/21/2012,23,12685.0
02/21/2012,24,11556.0
02/22/2012,01,10777.0
02/22/2012,02,10480.0
02/22/2012,03,10522.0
02/22/2012,04,10447.0
02/22/2012,05,10677.0
02/22/2012,06,11433.0
02/22/2012,07,13924.0
02/22/2012,08,14513.0
02/22/2012,09,14830.0
02/22/2012,10,14920.0
02/22/2012,11,14848.0
02/22/2012,12,14888.0
02/22/2012,13,14663.0
02/22/2012,14,14444.0
02/22/2012,15,14267.0
02/22/2012,16,14229.0
02/22/2012,17,14778.0
02/22/2012,18,15926.0
