"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20130912_20130926.csv"
"C","Report for: 09/12/2013 - 09/26/2013"
"C","Report generated: 03/14/2016 09:14:42 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","09/12/2013","01",14969.0
"D","09/12/2013","02",14406.0
"D","09/12/2013","03",13903.0
"D","09/12/2013","04",13707.0
"D","09/12/2013","05",13748.0
"D","09/12/2013","06",14711.0
"D","09/12/2013","07",15746.0
"D","09/12/2013","08",16924.0
"D","09/12/2013","09",17977.0
"D","09/12/2013","10",18808.0
"D","09/12/2013","11",19567.0
"D","09/12/2013","12",20042.0
"D","09/12/2013","13",20342.0
"D","09/12/2013","14",20700.0
"D","09/12/2013","15",20615.0
"D","09/12/2013","16",20603.0
"D","09/12/2013","17",20488.0
"D","09/12/2013","18",20077.0
"D","09/12/2013","19",19588.0
"D","09/12/2013","20",19795.0
"D","09/12/2013","21",19167.0
"D","09/12/2013","22",17673.0
"D","09/12/2013","23",15910.0
"D","09/12/2013","24",14329.0
"D","09/13/2013","01",13058.0
"D","09/13/2013","02",12412.0
"D","09/13/2013","03",12270.0
"D","09/13/2013","04",12193.0
"D","09/13/2013","05",12140.0
"D","09/13/2013","06",12604.0
"D","09/13/2013","07",13894.0
"D","09/13/2013","08",14874.0
"D","09/13/2013","09",15763.0
"D","09/13/2013","10",16329.0
"D","09/13/2013","11",16797.0
"D","09/13/2013","12",16882.0
"D","09/13/2013","13",16842.0
"D","09/13/2013","14",16885.0
"D","09/13/2013","15",16919.0
"D","09/13/2013","16",16737.0
"D","09/13/2013","17",16621.0
"D","09/13/2013","18",16113.0
"D","09/13/2013","19",15945.0
"D","09/13/2013","20",16046.0
"D","09/13/2013","21",15570.0
"D","09/13/2013","22",14255.0
"D","09/13/2013","23",13047.0
"D","09/13/2013","24",11717.0
"D","09/14/2013","01",10590.0
"D","09/14/2013","02",10272.0
"D","09/14/2013","03",9984.0
"D","09/14/2013","04",9870.0
"D","09/14/2013","05",9713.0
"D","09/14/2013","06",9842.0
"D","09/14/2013","07",10025.0
"D","09/14/2013","08",10642.0
"D","09/14/2013","09",11881.0
"D","09/14/2013","10",12424.0
"D","09/14/2013","11",12958.0
"D","09/14/2013","12",13102.0
"D","09/14/2013","13",13034.0
"D","09/14/2013","14",12857.0
"D","09/14/2013","15",12772.0
"D","09/14/2013","16",12733.0
"D","09/14/2013","17",12775.0
"D","09/14/2013","18",12828.0
"D","09/14/2013","19",12907.0
"D","09/14/2013","20",13551.0
"D","09/14/2013","21",13040.0
"D","09/14/2013","22",12256.0
"D","09/14/2013","23",11442.0
"D","09/14/2013","24",10487.0
"D","09/15/2013","01",9733.0
"D","09/15/2013","02",9607.0
"D","09/15/2013","03",9660.0
"D","09/15/2013","04",9694.0
"D","09/15/2013","05",9769.0
"D","09/15/2013","06",10099.0
"D","09/15/2013","07",10561.0
"D","09/15/2013","08",10374.0
"D","09/15/2013","09",11742.0
"D","09/15/2013","10",12619.0
"D","09/15/2013","11",13019.0
"D","09/15/2013","12",13301.0
"D","09/15/2013","13",13485.0
"D","09/15/2013","14",13435.0
"D","09/15/2013","15",13377.0
"D","09/15/2013","16",13447.0
"D","09/15/2013","17",13620.0
"D","09/15/2013","18",13771.0
"D","09/15/2013","19",13986.0
"D","09/15/2013","20",14220.0
"D","09/15/2013","21",14060.0
"D","09/15/2013","22",12565.0
"D","09/15/2013","23",11679.0
"D","09/15/2013","24",10682.0
"D","09/16/2013","01",9297.0
"D","09/16/2013","02",9167.0
"D","09/16/2013","03",9494.0
"D","09/16/2013","04",9491.0
"D","09/16/2013","05",9719.0
"D","09/16/2013","06",10245.0
"D","09/16/2013","07",12189.0
"D","09/16/2013","08",13489.0
"D","09/16/2013","09",14012.0
"D","09/16/2013","10",14440.0
"D","09/16/2013","11",14845.0
"D","09/16/2013","12",15021.0
"D","09/16/2013","13",15088.0
"D","09/16/2013","14",15106.0
"D","09/16/2013","15",14964.0
"D","09/16/2013","16",14743.0
"D","09/16/2013","17",14705.0
"D","09/16/2013","18",14673.0
"D","09/16/2013","19",14806.0
"D","09/16/2013","20",15293.0
"D","09/16/2013","21",14684.0
"D","09/16/2013","22",13589.0
"D","09/16/2013","23",12244.0
"D","09/16/2013","24",10882.0
"D","09/17/2013","01",9832.0
"D","09/17/2013","02",9610.0
"D","09/17/2013","03",9606.0
"D","09/17/2013","04",9515.0
"D","09/17/2013","05",9669.0
"D","09/17/2013","06",10384.0
"D","09/17/2013","07",12168.0
"D","09/17/2013","08",13378.0
"D","09/17/2013","09",13841.0
"D","09/17/2013","10",14103.0
"D","09/17/2013","11",14311.0
"D","09/17/2013","12",14403.0
"D","09/17/2013","13",14464.0
"D","09/17/2013","14",14490.0
"D","09/17/2013","15",14490.0
"D","09/17/2013","16",14488.0
"D","09/17/2013","17",14508.0
"D","09/17/2013","18",14440.0
"D","09/17/2013","19",14602.0
"D","09/17/2013","20",15173.0
