Date,Hour Ending,Day-Ahead Cleared Demand
3/1/12,1,11395
3/1/12,2,11116
3/1/12,3,11055
3/1/12,4,11035
3/1/12,5,11205
3/1/12,6,11897
3/1/12,7,13959
3/1/12,8,14427
3/1/12,9,14622
3/1/12,10,15074
3/1/12,11,15125
3/1/12,12,14973
3/1/12,13,15137
3/1/12,14,15131
3/1/12,15,15037
3/1/12,16,14880
3/1/12,17,15329
3/1/12,18,16666
3/1/12,19,16404
3/1/12,20,15508
3/1/12,21,15305
3/1/12,22,14275
3/1/12,23,13079
3/1/12,24,11886
3/2/12,1,11245
3/2/12,2,10885
3/2/12,3,10528
3/2/12,4,10455
3/2/12,5,10926
3/2/12,6,12194
3/2/12,7,14497
3/2/12,8,15039
3/2/12,9,15055
3/2/12,10,15061
3/2/12,11,15212
3/2/12,12,15546
3/2/12,13,15316
3/2/12,14,15162
3/2/12,15,14810
3/2/12,16,14542
3/2/12,17,14810
3/2/12,18,15356
3/2/12,19,16171
3/2/12,20,15613
3/2/12,21,14524
3/2/12,22,13467
3/2/12,23,12398
3/2/12,24,11493
3/3/12,1,10710
3/3/12,2,10623
3/3/12,3,10625
3/3/12,4,10515
3/3/12,5,10333
3/3/12,6,10073
3/3/12,7,10796
3/3/12,8,11459
3/3/12,9,12679
3/3/12,10,13507
3/3/12,11,13407
3/3/12,12,13353
3/3/12,13,13321
3/3/12,14,12956
3/3/12,15,12621
3/3/12,16,12557
3/3/12,17,12891
3/3/12,18,13515
3/3/12,19,14083
3/3/12,20,13712
3/3/12,21,13434
3/3/12,22,12848
3/3/12,23,11763
3/3/12,24,10998
3/4/12,1,10948
3/4/12,2,10848
3/4/12,3,10886
3/4/12,4,10713
3/4/12,5,10704
3/4/12,6,10757
3/4/12,7,10877
3/4/12,8,11245
3/4/12,9,12012
3/4/12,10,13011
3/4/12,11,13338
3/4/12,12,13380
3/4/12,13,13014
3/4/12,14,12890
3/4/12,15,12519
3/4/12,16,12721
3/4/12,17,12907
3/4/12,18,14366
3/4/12,19,14816
3/4/12,20,14304
3/4/12,21,13768
3/4/12,22,13127
3/4/12,23,12286
3/4/12,24,11155
3/5/12,1,10825
3/5/12,2,10703
3/5/12,3,10769
3/5/12,4,10764
3/5/12,5,10952
3/5/12,6,12132
3/5/12,7,14252
3/5/12,8,14605
3/5/12,9,14603
3/5/12,10,14733
3/5/12,11,14130
3/5/12,12,14200
3/5/12,13,14072
3/5/12,14,13948
3/5/12,15,13979
3/5/12,16,13962
3/5/12,17,14366
3/5/12,18,15754
3/5/12,19,15780
3/5/12,20,15767
3/5/12,21,14936
3/5/12,22,14280
3/5/12,23,12992
3/5/12,24,12179
3/6/12,1,11828
3/6/12,2,11723
3/6/12,3,11632
3/6/12,4,11691
3/6/12,5,12016
3/6/12,6,12847
3/6/12,7,15133
3/6/12,8,15333
3/6/12,9,15674
3/6/12,10,15681
3/6/12,11,15510
3/6/12,12,15263
3/6/12,13,15065
3/6/12,14,14936
3/6/12,15,14762
3/6/12,16,14705
3/6/12,17,15097
3/6/12,18,16066
3/6/12,19,16415
3/6/12,20,15943
3/6/12,21,15712
3/6/12,22,14626
3/6/12,23,13487
3/6/12,24,12313
3/7/12,1,12069
3/7/12,2,11973
3/7/12,3,11748
3/7/12,4,11717
3/7/12,5,12051
3/7/12,6,12741
3/7/12,7,14294
3/7/12,8,14921
3/7/12,9,14850
3/7/12,10,14952
3/7/12,11,14903
3/7/12,12,14740
3/7/12,13,14496
3/7/12,14,14268
3/7/12,15,14056
3/7/12,16,13892
3/7/12,17,14214
3/7/12,18,15291
3/7/12,19,15199
3/7/12,20,15124
3/7/12,21,14810
3/7/12,22,13785
3/7/12,23,12372
3/7/12,24,11465
3/8/12,1,10626
3/8/12,2,10522
3/8/12,3,10427
3/8/12,4,10304
3/8/12,5,10519
3/8/12,6,11212
3/8/12,7,13080
3/8/12,8,14197
3/8/12,9,14367
3/8/12,10,14408
3/8/12,11,14318
3/8/12,12,14272
3/8/12,13,14071
3/8/12,14,14042
3/8/12,15,14043
3/8/12,16,13969
3/8/12,17,14200
3/8/12,18,14625
3/8/12,19,15109
3/8/12,20,14914
3/8/12,21,14497
3/8/12,22,13323
3/8/12,23,11990
3/8/12,24,10867
3/9/12,1,10964
3/9/12,2,10651
3/9/12,3,10628
3/9/12,4,10634
3/9/12,5,10764
3/9/12,6,11521
3/9/12,7,12685
3/9/12,8,13249
3/9/12,9,14102
3/9/12,10,14748
3/9/12,11,14782
3/9/12,12,14806
3/9/12,13,14681
3/9/12,14,14539
3/9/12,15,14109
3/9/12,16,14022
3/9/12,17,14283
3/9/12,18,15031
3/9/12,19,15788
3/9/12,20,15021
3/9/12,21,14713
3/9/12,22,13925
3/9/12,23,12813
3/9/12,24,11666
3/10/12,1,10791
3/10/12,2,10382
3/10/12,3,10127
3/10/12,4,10061
3/10/12,5,10258
3/10/12,6,10697
3/10/12,7,11236
3/10/12,8,11981
3/10/12,9,12975
3/10/12,10,13567
3/10/12,11,13872
3/10/12,12,13823
3/10/12,13,13608
3/10/12,14,13382
3/10/12,15,13110
3/10/12,16,13016
3/10/12,17,13393
3/10/12,18,14035
3/10/12,19,14975
3/10/12,20,14609
3/10/12,21,14082
3/10/12,22,13277
3/10/12,23,12336
3/10/12,24,11394
3/11/12,1,10968
3/11/12,2,10503
3/11/12,4,10180
3/11/12,5,10271
3/11/12,6,10540
3/11/12,7,10923
3/11/12,8,11398
3/11/12,9,12219
3/11/12,10,12521
3/11/12,11,12837
3/11/12,12,12662
3/11/12,13,12658
3/11/12,14,12482
3/11/12,15,12107
3/11/12,16,11973
3/11/12,17,12307
3/11/12,18,13115
3/11/12,19,13963
3/11/12,20,14520
3/11/12,21,13985
3/11/12,22,12878
3/11/12,23,11764
3/11/12,24,10743
3/12/12,1,10217
3/12/12,2,9848
3/12/12,3,9904
3/12/12,4,9926
3/12/12,5,10113
3/12/12,6,10843
3/12/12,7,13139
3/12/12,8,13992
3/12/12,9,13755
3/12/12,10,13867
3/12/12,11,14121
3/12/12,12,13999
3/12/12,13,13882
3/12/12,14,13743
3/12/12,15,13765
3/12/12,16,13539
3/12/12,17,13667
3/12/12,18,14042
3/12/12,19,14610
3/12/12,20,14780
3/12/12,21,14476
3/12/12,22,13001
3/12/12,23,11626
3/12/12,24,10571
3/13/12,1,9724
3/13/12,2,9470
3/13/12,3,9298
3/13/12,4,9290
3/13/12,5,9519
3/13/12,6,9969
3/13/12,7,12943
3/13/12,8,14064
3/13/12,9,14179
3/13/12,10,14277
3/13/12,11,14331
3/13/12,12,14318
3/13/12,13,14264
3/13/12,14,14138
3/13/12,15,13945
3/13/12,16,13809
3/13/12,17,14045
3/13/12,18,14537
3/13/12,19,14709
3/13/12,20,15114
3/13/12,21,14566
3/13/12,22,12972
3/13/12,23,11267
3/13/12,24,10513
3/14/12,1,10145
3/14/12,2,9868
3/14/12,3,9732
3/14/12,4,9689
3/14/12,5,9906
3/14/12,6,10578
3/14/12,7,12587
3/14/12,8,13717
3/14/12,9,14036
3/14/12,10,14059
3/14/12,11,14035
3/14/12,12,13927
3/14/12,13,13939
3/14/12,14,13912
3/14/12,15,13785
3/14/12,16,13640
3/14/12,17,13842
3/14/12,18,14340
3/14/12,19,14346
3/14/12,20,14980
3/14/12,21,14327
3/14/12,22,13311
3/14/12,23,12129
3/14/12,24,10988
3/15/12,1,10195
3/15/12,2,10168
3/15/12,3,9944
3/15/12,4,10011
3/15/12,5,10200
3/15/12,6,10758
3/15/12,7,13019
3/15/12,8,13798
3/15/12,9,13695
3/15/12,10,13996
3/15/12,11,14247
3/15/12,12,14274
3/15/12,13,14044
3/15/12,14,13938
3/15/12,15,13805
3/15/12,16,13557
3/15/12,17,13703
3/15/12,18,14133
3/15/12,19,14453
3/15/12,20,15050
3/15/12,21,14463
3/15/12,22,13329
3/15/12,23,12271
3/15/12,24,10953
359 lines,,
