DATE,DA_DEMD_AVG,DA_LMP_AVG,DA_EC_AVG,DA_CC_AVG,DA_MLC_AVG,RT_LMP_AVG,RT_EC_AVG,RT_CC_AVG,RT_MLC_AVG,DryBulb_avg,SYSLoad_avg,COAL,GAS,HYDRO,NUCLEAR,OIL,REFUSE,SOLAR,WIND,TOTAL,COAL_P,GAS_P,HYDRO_P,NUCLEAR_P,OIL_P,REFUSE_P,SOLAR_P,WIND_P
1/1/10,"13,625.75",58.350,58.518,-0.2317,0.0638,59.994,59.900,0.000,0.093,29.708,"14,276.375","54,129.704","120,127.150","27,192.579",82531.505,0.386,"21,528.719",0.378,521.424,"306,031.845",0.17687605,0.392531535,0.08885539,0.269682735,1.26131E-06,0.07034797,1.23517E-06,0.001703823
1/2/10,"13,884.29",60.343,60.343,-0.4383,0.0004,71.260,71.165,0.000,0.095,26.000,"14,877.375","49,234.337","132,483.824","29,431.474",82512.376,0.416,"20,313.586",0.015,"1,243.433","315,219.461",0.156190664,0.420290751,0.093368201,0.261761681,1.31972E-06,0.064442677,4.75859E-08,0.003944658
1/3/10,"14,089.08",67.160,67.160,-0.0167,0.0100,133.528,133.423,-0.381,0.485,18.708,"15,637.125","54,587.730","152,873.983","30,388.983",82161.154,1722.610,"20,057.661",0.256,"1,043.732","342,836.109",0.159223981,0.445909806,0.088639972,0.239651401,0.005024587,0.0585051,7.46712E-07,0.003044405
1/4/10,"15,975.71",85.569,85.569,0.2629,0.0346,109.813,109.632,0.000,0.180,25.042,"16,280.458","48,949.665","173,285.238","28,464.371",82517.040,828.492,"20,285.675",1.309,"1,013.942","355,345.732",0.137752224,0.48765251,0.080103315,0.232216212,0.00233151,0.05708715,3.68374E-06,0.002853396
1/5/10,"15,598.63",94.574,94.574,-0.4050,0.0908,85.412,86.579,-1.158,-0.009,24.917,"16,452.792","54,437.230","179,119.904","25,165.851",82510.798,1340.210,"19,701.267",0.432,424.977,"362,700.669",0.150088584,0.493850492,0.069384628,0.227490063,0.003695086,0.054318254,1.19106E-06,0.001171702
1/6/10,"15,561.38",86.645,86.645,0.3563,0.1525,62.077,62.123,0.000,-0.045,25.208,"16,242.625","56,379.451","166,917.212","24,983.897",89339.576,39.662,"19,489.897",1.986,857.481,"358,009.162",0.15748047,0.466237264,0.069785636,0.249545502,0.000110785,0.05443966,5.54734E-06,0.002395137
1/7/10,"15,367.75",72.185,72.185,-0.5729,0.1708,57.437,57.480,0.000,-0.043,28.958,"16,018.583","53,949.126","152,627.879","25,671.517",107151.166,114.187,"18,820.055",2.003,"1,276.462","359,612.395",0.150020207,0.424423299,0.07138663,0.297962939,0.000317528,0.052334278,5.56989E-06,0.00354955
1/8/10,"15,703.29",68.005,68.005,-0.0121,0.1888,63.765,63.917,0.000,-0.153,23.458,"16,091.958","57,982.555","157,392.804","22,793.037",112044.281,2.266,"20,165.283",0.369,723.210,"371,103.805",0.156243494,0.424120696,0.061419572,0.301921671,6.10611E-06,0.054338659,9.94331E-07,0.001948808
1/9/10,"14,989.96",74.388,74.388,-0.0033,0.2800,72.064,72.258,0.000,-0.195,19.042,"15,511.875","56,704.730","135,331.388","25,112.563",112027.091,125.480,"20,000.369",2.246,"1,560.057","350,863.924",0.161614592,0.385709042,0.071573511,0.319289284,0.000357632,0.057003207,6.40134E-06,0.004446331
1/10/10,"15,092.58",75.988,75.988,-0.5738,0.2933,73.608,73.824,0.000,-0.216,15.417,"15,714.625","58,852.153","138,791.232","22,578.199",112165.514,16.256,"19,864.506",2.401,988.876,"353,259.137",0.166597681,0.392887876,0.063913984,0.317516243,4.60172E-05,0.056232108,6.79671E-06,0.002799293
