Date,Hour Ending,Day-Ahead Cleared Demand
01/01/2010,01,12657.0
01/01/2010,02,12347.0
01/01/2010,03,12111.0
01/01/2010,04,11957.0
01/01/2010,05,11959.0
01/01/2010,06,12132.0
01/01/2010,07,12167.0
01/01/2010,08,12352.0
01/01/2010,09,13100.0
01/01/2010,10,13754.0
01/01/2010,11,14325.0
01/01/2010,12,14489.0
01/01/2010,13,14213.0
01/01/2010,14,14021.0
01/01/2010,15,13798.0
01/01/2010,16,13995.0
01/01/2010,17,15589.0
01/01/2010,18,16448.0
01/01/2010,19,16295.0
01/01/2010,20,15754.0
01/01/2010,21,15022.0
01/01/2010,22,13888.0
01/01/2010,23,12735.0
01/01/2010,24,11910.0
01/02/2010,01,11766.0
01/02/2010,02,11400.0
01/02/2010,03,11725.0
01/02/2010,04,11699.0
01/02/2010,05,11455.0
01/02/2010,06,11519.0
01/02/2010,07,11919.0
01/02/2010,08,12460.0
01/02/2010,09,13976.0
01/02/2010,10,14784.0
01/02/2010,11,15090.0
01/02/2010,12,15129.0
01/02/2010,13,14769.0
01/02/2010,14,14454.0
01/02/2010,15,14315.0
01/02/2010,16,14472.0
01/02/2010,17,16000.0
01/02/2010,18,17299.0
01/02/2010,19,17161.0
01/02/2010,20,16251.0
01/02/2010,21,15439.0
01/02/2010,22,14320.0
01/02/2010,23,13361.0
01/02/2010,24,12460.0
01/03/2010,01,12038.0
01/03/2010,02,11768.0
01/03/2010,03,12024.0
01/03/2010,04,12009.0
01/03/2010,05,12061.0
01/03/2010,06,11750.0
01/03/2010,07,12004.0
01/03/2010,08,12437.0
01/03/2010,09,13615.0
01/03/2010,10,14517.0
01/03/2010,11,15064.0
01/03/2010,12,15098.0
01/03/2010,13,15046.0
01/03/2010,14,14792.0
01/03/2010,15,14642.0
01/03/2010,16,14874.0
01/03/2010,17,16576.0
01/03/2010,18,17965.0
01/03/2010,19,17399.0
01/03/2010,20,16753.0
01/03/2010,21,16006.0
01/03/2010,22,14432.0
01/03/2010,23,13043.0
01/03/2010,24,12225.0
01/04/2010,01,13672.0
01/04/2010,02,13609.0
01/04/2010,03,13641.0
01/04/2010,04,13633.0
01/04/2010,05,13667.0
01/04/2010,06,14916.0
01/04/2010,07,15058.0
01/04/2010,08,16159.0
01/04/2010,09,16407.0
01/04/2010,10,17212.0
01/04/2010,11,17152.0
01/04/2010,12,17192.0
01/04/2010,13,16978.0
01/04/2010,14,16678.0
01/04/2010,15,16491.0
01/04/2010,16,16655.0
01/04/2010,17,17755.0
01/04/2010,18,18273.0
01/04/2010,19,18034.0
01/04/2010,20,17963.0
01/04/2010,21,17655.0
01/04/2010,22,16217.0
01/04/2010,23,14640.0
01/04/2010,24,13760.0
01/05/2010,01,13231.0
01/05/2010,02,13199.0
01/05/2010,03,13062.0
01/05/2010,04,13105.0
01/05/2010,05,13052.0
