"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20121012_20121026.csv"
"C","Report for: 10/12/2012 - 10/26/2012"
"C","Report generated: 03/14/2016 09:02:47 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","10/12/2012","01",9768.0
"D","10/12/2012","02",9511.0
"D","10/12/2012","03",9452.0
"D","10/12/2012","04",9393.0
"D","10/12/2012","05",9355.0
"D","10/12/2012","06",10049.0
"D","10/12/2012","07",12527.0
"D","10/12/2012","08",13198.0
"D","10/12/2012","09",13411.0
"D","10/12/2012","10",13512.0
"D","10/12/2012","11",13674.0
"D","10/12/2012","12",13613.0
"D","10/12/2012","13",13493.0
"D","10/12/2012","14",13432.0
"D","10/12/2012","15",13247.0
"D","10/12/2012","16",13204.0
"D","10/12/2012","17",13405.0
"D","10/12/2012","18",13698.0
"D","10/12/2012","19",14516.0
"D","10/12/2012","20",14353.0
"D","10/12/2012","21",13959.0
"D","10/12/2012","22",13065.0
"D","10/12/2012","23",11762.0
"D","10/12/2012","24",10652.0
"D","10/13/2012","01",10304.0
"D","10/13/2012","02",10041.0
"D","10/13/2012","03",9931.0
"D","10/13/2012","04",9956.0
"D","10/13/2012","05",9940.0
"D","10/13/2012","06",9982.0
"D","10/13/2012","07",10983.0
"D","10/13/2012","08",11775.0
"D","10/13/2012","09",12488.0
"D","10/13/2012","10",12578.0
"D","10/13/2012","11",12672.0
"D","10/13/2012","12",12762.0
"D","10/13/2012","13",12590.0
"D","10/13/2012","14",12489.0
"D","10/13/2012","15",12401.0
"D","10/13/2012","16",12387.0
"D","10/13/2012","17",12440.0
"D","10/13/2012","18",12873.0
"D","10/13/2012","19",13351.0
"D","10/13/2012","20",13202.0
"D","10/13/2012","21",12877.0
"D","10/13/2012","22",12132.0
"D","10/13/2012","23",11438.0
"D","10/13/2012","24",10481.0
"D","10/14/2012","01",10333.0
"D","10/14/2012","02",10193.0
"D","10/14/2012","03",9957.0
"D","10/14/2012","04",9817.0
"D","10/14/2012","05",9886.0
"D","10/14/2012","06",10011.0
"D","10/14/2012","07",10110.0
"D","10/14/2012","08",10527.0
"D","10/14/2012","09",11563.0
"D","10/14/2012","10",12305.0
"D","10/14/2012","11",12538.0
"D","10/14/2012","12",12668.0
"D","10/14/2012","13",12627.0
"D","10/14/2012","14",12720.0
"D","10/14/2012","15",12658.0
"D","10/14/2012","16",12669.0
"D","10/14/2012","17",12795.0
"D","10/14/2012","18",13033.0
"D","10/14/2012","19",13554.0
"D","10/14/2012","20",13454.0
"D","10/14/2012","21",13268.0
"D","10/14/2012","22",12270.0
"D","10/14/2012","23",11132.0
"D","10/14/2012","24",10367.0
"D","10/15/2012","01",10058.0
"D","10/15/2012","02",9837.0
"D","10/15/2012","03",9862.0
"D","10/15/2012","04",9822.0
"D","10/15/2012","05",10009.0
"D","10/15/2012","06",10536.0
"D","10/15/2012","07",12126.0
"D","10/15/2012","08",13226.0
