Date,Hour,Price
20100101,1,59.24
20100101,2,58.44
20100101,3,58.17
20100101,4,58.17
20100101,5,58.17
20100101,6,58.17
20100101,7,58.17
20100101,8,58.44
20100101,9,60.45
20100101,10,61.51
20100101,11,63.95
20100101,12,63.95
20100101,13,63.71
20100101,14,62.71
20100101,15,61.51
20100101,16,62.5
20100101,17,73.29
20100101,18,83.0
20100101,19,77.0
20100101,20,73.3
20100101,21,66.27
20100101,22,62.0
20100101,23,59.33
20100101,24,58.0
20100102,1,57.03
20100102,2,57.0
20100102,3,57.02
20100102,4,57.02
20100102,5,57.0
20100102,6,57.0
20100102,7,57.45
20100102,8,58.17
20100102,9,62.67
20100102,10,63.95
20100102,11,64.98
20100102,12,64.98
20100102,13,63.95
20100102,14,63.71
20100102,15,63.0
20100102,16,63.95
20100102,17,73.0
20100102,18,91.46
20100102,19,89.11
20100102,20,73.29
20100102,21,70.0
20100102,22,63.0
20100102,23,60.45
20100102,24,58.17
20100103,1,57.45
20100103,2,57.02
20100103,3,57.45
20100103,4,57.45
20100103,5,57.45
20100103,6,57.02
20100103,7,57.45
20100103,8,58.17
20100103,9,60.45
20100103,10,62.9
20100103,11,63.95
20100103,12,63.95
20100103,13,63.95
20100103,14,63.95
20100103,15,63.95
20100103,16,63.95
20100103,17,76.51
20100103,18,94.94
20100103,19,88.17
20100103,20,80.0
20100103,21,73.29
20100103,22,62.71
20100103,23,59.24
20100103,24,57.45
20100104,1,61.51
20100104,2,61.51
20100104,3,61.51
20100104,4,61.51
20100104,5,61.51
20100104,6,66.59
20100104,7,67.35
20100104,8,72.35
20100104,9,72.48
20100104,10,91.46
20100104,11,91.46
20100104,12,91.46
20100104,13,79.43
20100104,14,73.29
20100104,15,73.29
20100104,16,73.29
20100104,17,100.0
20100104,18,100.62
20100104,19,100.0
20100104,20,100.0
20100104,21,98.42
20100104,22,72.48
20100104,23,63.77
20100104,24,61.51
20100105,1,77.0
20100105,2,77.0
20100105,3,77.0
20100105,4,77.0
20100105,5,77.0
20100105,6,77.35
20100105,7,88.0
20100105,8,91.31
20100105,9,91.52
20100105,10,93.0
20100105,11,91.52
20100105,12,90.5
20100105,13,88.85
20100105,14,88.85
20100105,15,88.85
20100105,16,88.85
20100105,17,99.0
20100105,18,105.46
20100105,19,105.0
20100105,20,100.0
20100105,21,93.0
20100105,22,88.0
20100105,23,77.41
20100105,24,76.37
20100106,1,78.0
20100106,2,75.91
20100106,3,78.23
20100106,4,76.01
20100106,5,78.0
20100106,6,78.41
20100106,7,86.0
20100106,8,93.73
20100106,9,93.73
20100106,10,93.73
20100106,11,93.73
20100106,12,91.53
20100106,13,88.0
20100106,14,87.8
20100106,15,87.53
20100106,16,87.8
20100106,17,101.29
20100106,18,108.69
20100106,19,107.7
20100106,20,100.88
20100106,21,99.6
20100106,22,86.0
20100106,23,79.08
20100106,24,75.91
20100107,1,70.55
20100107,2,71.92
20100107,3,72.84
20100107,4,72.84
20100107,5,72.84
20100107,6,72.84
20100107,7,77.17
20100107,8,78.26
20100107,9,88.8
20100107,10,88.8
20100107,11,88.8
20100107,12,88.8
20100107,13,79.78
20100107,14,78.26
20100107,15,78.26
20100107,16,78.26
20100107,17,97.86
20100107,18,101.59
20100107,19,100.0
20100107,20,100.0
20100107,21,95.56
20100107,22,78.26
20100107,23,74.14
20100107,24,71.92
20100108,1,69.14
20100108,2,69.14
20100108,3,69.14
20100108,4,69.14
20100108,5,69.14
20100108,6,69.14
20100108,7,79.0
20100108,8,89.18
20100108,9,90.0
20100108,10,90.0
20100108,11,90.0
20100108,12,90.0
20100108,13,83.69
20100108,14,83.69
20100108,15,82.76
20100108,16,83.69
20100108,17,95.0
20100108,18,100.39
20100108,19,100.0
20100108,20,100.0
20100108,21,90.0
20100108,22,79.97
20100108,23,73.38
20100108,24,69.14
20100109,1,70.65
20100109,2,70.65
20100109,3,69.91
20100109,4,69.91
20100109,5,70.65
20100109,6,70.65
20100109,7,74.04
20100109,8,78.5
20100109,9,91.68
20100109,10,92.0
20100109,11,91.74
20100109,12,91.74
20100109,13,91.0
20100109,14,85.87
20100109,15,85.72
20100109,16,85.87
20100109,17,95.0
20100109,18,110.0
20100109,19,107.49
20100109,20,100.68
20100109,21,95.0
20100109,22,91.02
20100109,23,76.07
20100109,24,70.65
20100110,1,70.86
20100110,2,70.65
20100110,3,70.73
20100110,4,70.65
20100110,5,70.65
20100110,6,70.65
20100110,7,74.04
20100110,8,74.43
20100110,9,90.0
20100110,10,94.0
20100110,11,94.0
20100110,12,94.0
20100110,13,94.0
20100110,14,92.0
20100110,15,90.0
20100110,16,91.68
20100110,17,100.0
20100110,18,111.49
20100110,19,108.48
20100110,20,100.68
20100110,21,95.0
20100110,22,91.68
20100110,23,74.43
20100110,24,70.65
20100111,1,70.01
20100111,2,70.0
20100111,3,70.01
20100111,4,70.01
20100111,5,70.01
20100111,6,70.65
20100111,7,84.91
20100111,8,93.0
20100111,9,95.0
20100111,10,95.0
20100111,11,95.0
20100111,12,93.0
20100111,13,92.0
20100111,14,85.87
20100111,15,84.91
20100111,16,84.91
20100111,17,105.0
20100111,18,112.07
20100111,19,108.48
20100111,20,102.49
20100111,21,95.0
20100111,22,79.4
20100111,23,74.0
20100111,24,70.0
20100112,1,54.76
20100112,2,54.76
20100112,3,54.76
20100112,4,54.38
20100112,5,54.38
20100112,6,55.86
20100112,7,62.28
20100112,8,77.11
20100112,9,79.87
20100112,10,79.87
20100112,11,79.87
20100112,12,79.87
20100112,13,77.11
20100112,14,75.9
20100112,15,69.99
20100112,16,71.12
20100112,17,90.0
20100112,18,95.0
20100112,19,92.0
20100112,20,92.0
20100112,21,89.0
20100112,22,71.12
20100112,23,59.0
20100112,24,54.38
20100113,1,47.53
20100113,2,47.53
20100113,3,47.53
20100113,4,47.53
20100113,5,47.53
20100113,6,48.16
20100113,7,58.26
20100113,8,65.7
20100113,9,65.81
20100113,10,66.71
20100113,11,65.7
20100113,12,65.17
20100113,13,60.49
20100113,14,58.26
20100113,15,57.63
20100113,16,57.63
20100113,17,70.77
20100113,18,77.0
20100113,19,77.75
20100113,20,74.0
20100113,21,67.23
20100113,22,55.27
20100113,23,48.87
20100113,24,48.16
20100114,1,46.05
20100114,2,46.18
20100114,3,46.18
20100114,4,46.18
20100114,5,46.18
20100114,6,47.38
20100114,7,51.38
20100114,8,56.86
20100114,9,58.83
20100114,10,57.49
20100114,11,57.49
20100114,12,56.86
20100114,13,53.64
20100114,14,51.38
20100114,15,51.38
20100114,16,51.38
20100114,17,58.64
20100114,18,66.62
20100114,19,66.48
20100114,20,63.55
20100114,21,57.64
20100114,22,51.0
20100114,23,46.99
20100114,24,45.91
20100115,1,47.97
20100115,2,47.97
20100115,3,47.97
20100115,4,47.97
20100115,5,47.97
20100115,6,48.46
20100115,7,55.21
20100115,8,59.5
20100115,9,59.5
20100115,10,58.35
20100115,11,57.48
20100115,12,57.48
20100115,13,58.35
20100115,14,57.48
20100115,15,57.48
20100115,16,57.48
20100115,17,58.35
20100115,18,65.0
20100115,19,62.0
20100115,20,59.5
20100115,21,59.5
20100115,22,55.21
20100115,23,49.9
20100115,24,48.08
20100116,1,47.48
20100116,2,47.47
20100116,3,47.47
20100116,4,47.47
20100116,5,47.47
20100116,6,47.61
20100116,7,48.0
20100116,8,48.57
20100116,9,57.48
20100116,10,59.5
20100116,11,59.5
20100116,12,57.62
20100116,13,57.48
20100116,14,53.96
20100116,15,51.34
20100116,16,51.96
20100116,17,59.45
20100116,18,65.0
20100116,19,62.0
20100116,20,57.48
20100116,21,57.48
20100116,22,56.34
20100116,23,48.57
20100116,24,47.61
20100117,1,47.47
20100117,2,47.47
20100117,3,47.47
20100117,4,47.47
20100117,5,47.47
20100117,6,47.47
20100117,7,47.47
20100117,8,47.56
20100117,9,48.57
20100117,10,51.96
20100117,11,54.97
20100117,12,55.29
20100117,13,54.97
20100117,14,52.96
20100117,15,51.96
20100117,16,53.32
20100117,17,57.48
20100117,18,67.08
20100117,19,65.0
20100117,20,59.5
20100117,21,57.48
20100117,22,51.96
20100117,23,47.61
20100117,24,47.47
20100118,1,46.04
20100118,2,46.04
20100118,3,46.54
20100118,4,46.04
20100118,5,46.03
20100118,6,46.5
20100118,7,48.57
20100118,8,53.32
20100118,9,56.45
20100118,10,55.29
20100118,11,60.53
20100118,12,60.53
20100118,13,59.45
20100118,14,55.0
20100118,15,53.32
20100118,16,55.0
20100118,17,60.53
20100118,18,70.01
20100118,19,67.0
20100118,20,62.91
20100118,21,60.53
20100118,22,51.0
20100118,23,47.47
20100118,24,46.42
20100119,1,45.0
20100119,2,46.19
20100119,3,46.5
20100119,4,46.66
20100119,5,46.68
20100119,6,46.68
20100119,7,53.32
20100119,8,64.68
20100119,9,66.0
20100119,10,65.45
20100119,11,65.0
20100119,12,64.68
