Price,Quantity
0.0,7.0
0.0,182.0
0.0,13.0
0.0,30.0
0.0,13.0
0.0,14.0
0.0,30.0
0.0,14.0
0.0,7.0
0.0,1052.0
0.0,619.0
0.0,680.0
0.0,6.0
0.0,3.0
0.0,9.0
0.0,2.0
0.0,14.0
0.0,13.0
0.0,14.0
0.0,17.0
0.0,8.4
0.0,6.0
0.0,1230.0
0.0,879.0
0.0,35.0
0.0,20.0
0.0,132.0
0.0,8.8
0.0,6.3
0.0,15.0
0.0,7.0
0.0,30.0
0.0,2.0
0.0,58.4
0.0,28.0
0.0,7.0
1.0,15.0
1.0,11.0
1.0,16.0
1.0,12.0
1.0,21.2
6.01,13.0
6.01,7.0
6.01,13.0
6.01,4.0
6.01,5.6
10.0,4.0
11.95,170.0
15.0,442.4
15.01,22.3
15.34,55.0
16.13,25.0
17.0,288.8
17.51,13.0
18.0,8.0
18.0,13.0
18.46,11.0
18.58,5.0
19.18,9.6
19.63,13.0
19.64,25.9
19.65,51.3
19.66,37.0
19.67,37.0
19.68,37.0
19.69,36.9
19.74,37.0
20.0,5.0
20.62,538.0
20.78,410.0
20.88,52.0
20.98,53.0
21.0,110.0
21.0,110.0
21.0,110.0
21.0,135.0
21.08,52.0
21.18,53.0
21.5,390.0
21.75,21.0
21.94,125.0
22.0,15.0
22.0,15.0
22.0,15.0
22.0,11.0
22.0,15.0
22.15,117.0
22.15,10.0
22.25,11.0
22.25,20.0
22.37,435.0
22.5,11.0
22.5,12.0
22.61,472.0
23.0,20.0
23.01,518.0
23.64,350.0
23.69,116.0
23.79,150.0
23.8,113.0
23.89,175.0
23.9,84.0
24.0,39.0
24.0,34.0
24.0,34.0
24.14,158.0
24.25,20.0
24.61,8.6
24.62,8.5
24.63,8.6
24.64,8.6
24.65,8.5
24.66,8.6
24.67,8.6
24.68,5.0
24.69,7.2
24.75,119.0
24.92,185.0
24.93,65.0
24.97,185.0
24.98,64.0
25.0,11.0
25.16,68.0
25.62,180.0
25.63,20.0
25.68,157.0
25.89,2.0
25.9,5.0
26.0,11.0
26.28,8.0
26.49,119.0
26.53,180.0
26.54,20.0
26.57,2.0
26.63,20.0
26.77,5.0
27.0,11.0
27.07,5.0
27.2,150.0
