Date,Hour Ending,Day-Ahead Cleared Demand
07/14/2013,01,13138.0
07/14/2013,02,12781.0
07/14/2013,03,12165.0
07/14/2013,04,11937.0
07/14/2013,05,11904.0
07/14/2013,06,12096.0
07/14/2013,07,12436.0
07/14/2013,08,13176.0
07/14/2013,09,14519.0
07/14/2013,10,15867.0
07/14/2013,11,17178.0
07/14/2013,12,18015.0
07/14/2013,13,18754.0
07/14/2013,14,19166.0
07/14/2013,15,19454.0
07/14/2013,16,19750.0
07/14/2013,17,20107.0
07/14/2013,18,20170.0
07/14/2013,19,19744.0
07/14/2013,20,19296.0
07/14/2013,21,19407.0
07/14/2013,22,18828.0
07/14/2013,23,17098.0
07/14/2013,24,15874.0
07/15/2013,01,15171.0
07/15/2013,02,14620.0
07/15/2013,03,14341.0
07/15/2013,04,14027.0
07/15/2013,05,14188.0
07/15/2013,06,14645.0
07/15/2013,07,15686.0
07/15/2013,08,17337.0
07/15/2013,09,18872.0
07/15/2013,10,20035.0
07/15/2013,11,21414.0
07/15/2013,12,22275.0
07/15/2013,13,22813.0
07/15/2013,14,23392.0
07/15/2013,15,23828.0
07/15/2013,16,23974.0
07/15/2013,17,23978.0
07/15/2013,18,23509.0
07/15/2013,19,22792.0
07/15/2013,20,22140.0
07/15/2013,21,22002.0
07/15/2013,22,21053.0
07/15/2013,23,18916.0
07/15/2013,24,17315.0
07/16/2013,01,16230.0
07/16/2013,02,15814.0
07/16/2013,03,15088.0
07/16/2013,04,14715.0
07/16/2013,05,14787.0
07/16/2013,06,15409.0
07/16/2013,07,16782.0
07/16/2013,08,18220.0
07/16/2013,09,19155.0
07/16/2013,10,20586.0
07/16/2013,11,22030.0
07/16/2013,12,22785.0
07/16/2013,13,23472.0
07/16/2013,14,24098.0
07/16/2013,15,24355.0
07/16/2013,16,24584.0
07/16/2013,17,24582.0
07/16/2013,18,24220.0
07/16/2013,19,23427.0
07/16/2013,20,22565.0
07/16/2013,21,22236.0
07/16/2013,22,21333.0
07/16/2013,23,19099.0
07/16/2013,24,17803.0
07/17/2013,01,16696.0
07/17/2013,02,16081.0
07/17/2013,03,15449.0
07/17/2013,04,15068.0
07/17/2013,05,15313.0
07/17/2013,06,15947.0
07/17/2013,07,16961.0
07/17/2013,08,18864.0
07/17/2013,09,20398.0
07/17/2013,10,21387.0
07/17/2013,11,22826.0
07/17/2013,12,23642.0
07/17/2013,13,24377.0
07/17/2013,14,24962.0
07/17/2013,15,25268.0
07/17/2013,16,25317.0
07/17/2013,17,25203.0
07/17/2013,18,24744.0
07/17/2013,19,23872.0
07/17/2013,20,23242.0
07/17/2013,21,23098.0
07/17/2013,22,22008.0
07/17/2013,23,20599.0
07/17/2013,24,18482.0
07/18/2013,01,16807.0
07/18/2013,02,16321.0
07/18/2013,03,15583.0
07/18/2013,04,15212.0
07/18/2013,05,15333.0
07/18/2013,06,15920.0
07/18/2013,07,17165.0
07/18/2013,08,19119.0
07/18/2013,09,20448.0
07/18/2013,10,21658.0
07/18/2013,11,23004.0
07/18/2013,12,23865.0
07/18/2013,13,24505.0
07/18/2013,14,25125.0
07/18/2013,15,25353.0
07/18/2013,16,25399.0
07/18/2013,17,25082.0
07/18/2013,18,24618.0
07/18/2013,19,23836.0
07/18/2013,20,23368.0
07/18/2013,21,23240.0
07/18/2013,22,22083.0
07/18/2013,23,20543.0
07/18/2013,24,18554.0
07/19/2013,01,17264.0
07/19/2013,02,16739.0
07/19/2013,03,16101.0
07/19/2013,04,15687.0
07/19/2013,05,15734.0
07/19/2013,06,16359.0
07/19/2013,07,17535.0
07/19/2013,08,19573.0
07/19/2013,09,21130.0
07/19/2013,10,22501.0
07/19/2013,11,23140.0
07/19/2013,12,24125.0
07/19/2013,13,24856.0
07/19/2013,14,25474.0
07/19/2013,15,25498.0
07/19/2013,16,25447.0
07/19/2013,17,25221.0
07/19/2013,18,24853.0
07/19/2013,19,24189.0
07/19/2013,20,23176.0
07/19/2013,21,23139.0
07/19/2013,22,22447.0
07/19/2013,23,20660.0
07/19/2013,24,19045.0
07/20/2013,01,17760.0
07/20/2013,02,16720.0
07/20/2013,03,16175.0
07/20/2013,04,15980.0
07/20/2013,05,15725.0
07/20/2013,06,15787.0
07/20/2013,07,16167.0
07/20/2013,08,17779.0
07/20/2013,09,18444.0
07/20/2013,10,20106.0
07/20/2013,11,21420.0
07/20/2013,12,22046.0
07/20/2013,13,22608.0
07/20/2013,14,22815.0
07/20/2013,15,22583.0
07/20/2013,16,22428.0
07/20/2013,17,22322.0
07/20/2013,18,21987.0
07/20/2013,19,21381.0
07/20/2013,20,20629.0
07/20/2013,21,20563.0
07/20/2013,22,19858.0
07/20/2013,23,18284.0
07/20/2013,24,16695.0
07/21/2013,01,14547.0
07/21/2013,02,13818.0
07/21/2013,03,13185.0
07/21/2013,04,12924.0
07/21/2013,05,12642.0
07/21/2013,06,12595.0
07/21/2013,07,12703.0
07/21/2013,08,13379.0
07/21/2013,09,14777.0
07/21/2013,10,16111.0
07/21/2013,11,17176.0
07/21/2013,12,18039.0
07/21/2013,13,18609.0
07/21/2013,14,18877.0
07/21/2013,15,18936.0
07/21/2013,16,19113.0
07/21/2013,17,19302.0
07/21/2013,18,19088.0
07/21/2013,19,18545.0
07/21/2013,20,18248.0
07/21/2013,21,18258.0
07/21/2013,22,17608.0
07/21/2013,23,15908.0
07/21/2013,24,14461.0
07/22/2013,01,13276.0
07/22/2013,02,13014.0
07/22/2013,03,12808.0
07/22/2013,04,12818.0
07/22/2013,05,12883.0
07/22/2013,06,13050.0
07/22/2013,07,14100.0
07/22/2013,08,15457.0
07/22/2013,09,16632.0
07/22/2013,10,17760.0
07/22/2013,11,18525.0
07/22/2013,12,19236.0
07/22/2013,13,19550.0
07/22/2013,14,19895.0
07/22/2013,15,20074.0
07/22/2013,16,20035.0
07/22/2013,17,20098.0
07/22/2013,18,19812.0
07/22/2013,19,19158.0
07/22/2013,20,18635.0
07/22/2013,21,18751.0
07/22/2013,22,17757.0
07/22/2013,23,16115.0
07/22/2013,24,14411.0
07/23/2013,01,14168.0
07/23/2013,02,13593.0
07/23/2013,03,13324.0
07/23/2013,04,13172.0
07/23/2013,05,13168.0
07/23/2013,06,13616.0
07/23/2013,07,14641.0
07/23/2013,08,16226.0
07/23/2013,09,17220.0
07/23/2013,10,18005.0
07/23/2013,11,18842.0
07/23/2013,12,19444.0
07/23/2013,13,19888.0
07/23/2013,14,20053.0
07/23/2013,15,20269.0
07/23/2013,16,20308.0
07/23/2013,17,20229.0
07/23/2013,18,20077.0
07/23/2013,19,19517.0
07/23/2013,20,19207.0
07/23/2013,21,19296.0
07/23/2013,22,18430.0
07/23/2013,23,16885.0
07/23/2013,24,15230.0
07/24/2013,01,14443.0
07/24/2013,02,13864.0
07/24/2013,03,13588.0
07/24/2013,04,13216.0
07/24/2013,05,13093.0
07/24/2013,06,13538.0
07/24/2013,07,14842.0
07/24/2013,08,16523.0
07/24/2013,09,17574.0
07/24/2013,10,18455.0
07/24/2013,11,19234.0
07/24/2013,12,19851.0
07/24/2013,13,20291.0
07/24/2013,14,20555.0
07/24/2013,15,20758.0
07/24/2013,16,20799.0
07/24/2013,17,20703.0
07/24/2013,18,19994.0
07/24/2013,19,19446.0
07/24/2013,20,18959.0
07/24/2013,21,18911.0
07/24/2013,22,17914.0
07/24/2013,23,16228.0
07/24/2013,24,14504.0
07/25/2013,01,13411.0
07/25/2013,02,12703.0
07/25/2013,03,12526.0
07/25/2013,04,12479.0
07/25/2013,05,12363.0
07/25/2013,06,12908.0
07/25/2013,07,13797.0
07/25/2013,08,15129.0
07/25/2013,09,16153.0
07/25/2013,10,16904.0
07/25/2013,11,17498.0
07/25/2013,12,17937.0
07/25/2013,13,18139.0
07/25/2013,14,18444.0
07/25/2013,15,18537.0
07/25/2013,16,18546.0
07/25/2013,17,18485.0
07/25/2013,18,18248.0
07/25/2013,19,17723.0
07/25/2013,20,17365.0
07/25/2013,21,17492.0
07/25/2013,22,16652.0
07/25/2013,23,15018.0
07/25/2013,24,13796.0
07/26/2013,01,12306.0
07/26/2013,02,11920.0
07/26/2013,03,11455.0
07/26/2013,04,11199.0
07/26/2013,05,11429.0
07/26/2013,06,12144.0
07/26/2013,07,12982.0
07/26/2013,08,14282.0
07/26/2013,09,15409.0
07/26/2013,10,16012.0
07/26/2013,11,16924.0
07/26/2013,12,17248.0
07/26/2013,13,17486.0
07/26/2013,14,17540.0
07/26/2013,15,17727.0
07/26/2013,16,17831.0
07/26/2013,17,17783.0
07/26/2013,18,17659.0
07/26/2013,19,16908.0
07/26/2013,20,16661.0
07/26/2013,21,16688.0
07/26/2013,22,15825.0
07/26/2013,23,14827.0
07/26/2013,24,13461.0
07/27/2013,01,12131.0
07/27/2013,02,11454.0
07/27/2013,03,11158.0
07/27/2013,04,10875.0
07/27/2013,05,10922.0
07/27/2013,06,11053.0
07/27/2013,07,11274.0
07/27/2013,08,12228.0
07/27/2013,09,13921.0
07/27/2013,10,15116.0
07/27/2013,11,15989.0
07/27/2013,12,16915.0
07/27/2013,13,17273.0
07/27/2013,14,17408.0
07/27/2013,15,17553.0
07/27/2013,16,17702.0
07/27/2013,17,17886.0
07/27/2013,18,17772.0
07/27/2013,19,17300.0
07/27/2013,20,17043.0
07/27/2013,21,17034.0
07/27/2013,22,16564.0
07/27/2013,23,15234.0
07/27/2013,24,13856.0
07/28/2013,01,12830.0
07/28/2013,02,12049.0
07/28/2013,03,11641.0
07/28/2013,04,11709.0
07/28/2013,05,11870.0
07/28/2013,06,11927.0
07/28/2013,07,11987.0
07/28/2013,08,12754.0
07/28/2013,09,13892.0
07/28/2013,10,15360.0
07/28/2013,11,16369.0
07/28/2013,12,17134.0
07/28/2013,13,17666.0
07/28/2013,14,17929.0
07/28/2013,15,18067.0
07/28/2013,16,18273.0
07/28/2013,17,18475.0
07/28/2013,18,18464.0
07/28/2013,19,18110.0
07/28/2013,20,17741.0
07/28/2013,21,17986.0
07/28/2013,22,17253.0
07/28/2013,23,15776.0
07/28/2013,24,14376.0
